GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,n_pixels,n_non_na_pixels,prop_non_na_pixels,ntl_mean,date
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17770,0.999156592634242,0.28464686870575,2015-01-01
BLZ.2_1,BLZ,Belize,Cayo,,,District,District,,BZ.CY,BZ-CY,26347,26347,1,0.164810374379158,2015-01-01
BLZ.3_1,BLZ,Belize,Corozal,,,District,District,,BZ.CZ,BZ-CZL,10493,10482,0.998951682073763,0.210738152265549,2015-01-01
BLZ.4_1,BLZ,Belize,Orange Walk,,,District,District,,BZ.OW,BZ-OW,23421,23421,1,0.0792996883392334,2015-01-01
BLZ.5_1,BLZ,Belize,Stann Creek,,,District,District,,BZ.SC,BZ-SC,11994,11946,0.9959979989995,0.151779651641846,2015-01-01
BLZ.6_1,BLZ,Belize,Toledo,,,District,District,,BZ.TO,BZ-TOL,22120,22091,0.99868896925859,0.102903254330158,2015-01-01
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17768,0.999044138318808,0.280718415975571,2015-02-01
BLZ.2_1,BLZ,Belize,Cayo,,,District,District,,BZ.CY,BZ-CY,26347,26347,1,0.166623651981354,2015-02-01
BLZ.3_1,BLZ,Belize,Corozal,,,District,District,,BZ.CZ,BZ-CZL,10493,10481,0.998856380444106,0.239415138959885,2015-02-01
BLZ.4_1,BLZ,Belize,Orange Walk,,,District,District,,BZ.OW,BZ-OW,23421,23421,1,0.09421756118536,2015-02-01
BLZ.5_1,BLZ,Belize,Stann Creek,,,District,District,,BZ.SC,BZ-SC,11994,11949,0.996248124062031,0.132502153515816,2015-02-01
BLZ.6_1,BLZ,Belize,Toledo,,,District,District,,BZ.TO,BZ-TOL,22120,22100,0.999095840867993,0.0778796002268791,2015-02-01
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17769,0.999100365476525,0.285328775644302,2015-03-01
BLZ.2_1,BLZ,Belize,Cayo,,,District,District,,BZ.CY,BZ-CY,26347,26347,1,0.145696267485619,2015-03-01
BLZ.3_1,BLZ,Belize,Corozal,,,District,District,,BZ.CZ,BZ-CZL,10493,10480,0.998761078814448,0.229668244719505,2015-03-01
BLZ.4_1,BLZ,Belize,Orange Walk,,,District,District,,BZ.OW,BZ-OW,23421,23421,1,0.0880065113306046,2015-03-01
BLZ.5_1,BLZ,Belize,Stann Creek,,,District,District,,BZ.SC,BZ-SC,11994,11952,0.996498249124562,0.121192038059235,2015-03-01
BLZ.6_1,BLZ,Belize,Toledo,,,District,District,,BZ.TO,BZ-TOL,22120,22097,0.998960216998192,0.0427267849445343,2015-03-01
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17757,0.998425639583919,0.336455255746841,2015-04-01
BLZ.2_1,BLZ,Belize,Cayo,,,District,District,,BZ.CY,BZ-CY,26347,26347,1,0.172136068344116,2015-04-01
